Actual,Predicted
4.614,4.28402881360081
4.631,4.529246457023215
6.961,7.116431500573062
6.535,6.661933221684437
4.091,4.219030437816485
5.722,5.593992117784152
5.763,5.702522619794333
4.374,4.141869622616625
3.204,3.731080776200604
5.267,5.0736710101997415
5.275,5.163752539295956
6.13,6.133183798272036
5.661,5.398082650629112
5.703,5.541384793080059
6.436,6.5791644477206255
6.15,6.183483319314226
6.494,6.782937470795258
6.763,6.820660012197514
3.207,3.8222764186503078
5.951,5.821625724475369
4.036,3.8596038537820854
7.403,7.376756295728251
4.497,4.433007446691609
6.3,6.498182772521581
5.109,4.808813461632189
4.876,4.523729902468371
6.859,6.975753952363185
6.796,6.951223251794984
